test_version,locale,scale_name,gender,raw_score,t_score,age_group,notes
MMPI-2,TR,L,male,0,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,1,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,2,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,3,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,4,40,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,5,50,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,6,60,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,7,70,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,8,80,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,9,90,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,10,100,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,11,110,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,12,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,13,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,14,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,15,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,16,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,17,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,18,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,19,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,20,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,21,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,22,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,23,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,24,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,25,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,26,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,27,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,28,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,29,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,30,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,31,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,32,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,33,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,34,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,35,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,36,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,37,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,38,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,39,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,40,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,0,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,1,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,2,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,3,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,4,40,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,5,50,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,6,60,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,7,70,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,8,80,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,9,90,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,10,100,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,11,110,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,12,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,13,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,14,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,15,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,16,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,17,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,18,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,19,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,20,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,21,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,22,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,23,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,24,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,25,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,26,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,27,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,28,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,29,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,30,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,31,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,32,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,33,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,34,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,35,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,36,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,37,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,38,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,39,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,40,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,0,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,1,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,2,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,3,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,4,40,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,5,50,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,6,60,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,7,70,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,8,80,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,9,90,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,10,100,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,11,110,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,12,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,13,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,14,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,15,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,16,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,17,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,18,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,19,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,20,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,21,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,22,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,23,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,24,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,25,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,26,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,27,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,28,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,29,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,30,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,31,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,32,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,33,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,34,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,35,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,36,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,37,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,38,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,39,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,40,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,0,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,1,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,2,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,3,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,4,40,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,5,50,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,6,60,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,7,70,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,8,80,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,9,90,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,10,100,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,11,110,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,12,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,13,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,14,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,15,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,16,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,17,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,18,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,19,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,20,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,21,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,22,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,23,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,24,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,25,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,26,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,27,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,28,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,29,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,30,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,31,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,32,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,33,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,34,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,35,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,36,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,37,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,38,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,39,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,female,40,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,0,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,1,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,2,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,3,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,4,40,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,5,50,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,6,60,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,7,70,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,8,80,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,9,90,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,10,100,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,11,110,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,12,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,13,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,14,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,15,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,16,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,17,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,18,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,19,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,20,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,21,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,22,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,23,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,24,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,25,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,26,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,27,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,28,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,29,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,30,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,31,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,32,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,33,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,34,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,35,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,36,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,37,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,38,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,39,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,male,40,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,0,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,1,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,2,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,3,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,4,40,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,5,50,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,6,60,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,7,70,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,8,80,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,9,90,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,10,100,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,11,110,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,12,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,13,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,14,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,15,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,16,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,17,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,18,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,19,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,20,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,21,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,22,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,23,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,24,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,25,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,26,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,27,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,28,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,29,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,30,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,31,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,32,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,33,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,34,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,35,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,36,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,37,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,38,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,39,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,K,female,40,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,0,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,1,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,2,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,3,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,4,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,5,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,6,32,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,7,34,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,8,36,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,9,38,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,10,40,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,11,42,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,12,44,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,13,46,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,14,48,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,15,50,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,16,52,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,17,54,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,18,56,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,19,58,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,20,60,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,21,62,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,22,64,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,23,66,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,24,68,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,25,70,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,26,72,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,27,74,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,28,76,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,29,78,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,30,80,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,Hs,male,31,82,adult,NON-OFFICIAL-FORMULA
